Исходное слово | Перевод | Количество упоминаний
209.9 | 209.9 | 1
13:55 | 13:55 | 1
1280×682, | 1280×682, | 1
76.5 | 76.5 | 1
🔔 | 🔔 | 1
университет | университет | 1
поступать | поступать | 1
прохождение | прохождение | 1
необходимо:- | необходимо:- | 1
регистрацию, | регистрацию, | 1
учётный | учётный | 1
запись- | запись- | 1
выбрать | выбрать | 1
🔘решить | 🔘решить | 1
задание | задание | 1
(доступ | (доступ | 1
23:59 | 23:59 | 1
час | час | 1
мск)🔘результат | мск)🔘результат | 1
опубликовать | опубликовать | 1
1 | 1 | 1
г.🔘заключительный | г.🔘заключительный | 1
победитель | победитель | 1
испытанийпереть | испытанийпереть | 1
общий | общий | 1
конкурс | конкурс | 1
дополнительный | дополнительный | 1
балл | балл | 1
портфолио | портфолио | 1
выделить | выделить | 1
квотный | квотный | 1
следующий | следующий | 1
сафу: | сафу: | 1
45.04.01 | 45.04.01 | 1
филология; | филология; | 1
05.04.06 | 05.04.06 | 1
экология | экология | 1
природопользование; | природопользование; | 1
37.04.01 | 37.04.01 | 1
психология; | психология; | 1
40.04.01 | 40.04.01 | 1
юриспруденция; | юриспруденция; | 1
44.04.01 | 44.04.01 | 1
педагогический | педагогический | 1
упустить | упустить | 1
поступить | поступить | 1
испытаний!english | испытаний!english | 1
17:04 | 17:04 | 1
02:56, | 02:56, | 1
62.9 | 62.9 | 1
🔥 | 🔥 | 1
кругосветный | кругосветный | 1
питерский | питерский | 1
250 | 250 | 1
25 | 25 | 1
объединиться | объединиться | 1
межкультурный | межкультурный | 1
студенческий | студенческий | 1
санкт-петербурга. | санкт-петербурга. | 1
«campus | «campus | 1
international» | international» | 1
площадка | площадка | 1
диалог | диалог | 1
студентов» | студентов» | 1
сзгма | сзгма | 1
мечникова, | мечникова, | 1
спортклуб | спортклуб | 1
спбгу | спбгу | 1
«балтийский | «балтийский | 1
орланы» | орланы» | 1
обучающихся» | обучающихся» | 1
спбгу🤩 | спбгу🤩 | 1
молодой | молодой | 1
продемонстрировать | продемонстрировать | 1
национальный | национальный | 1
костюм | костюм | 1
творческий | творческий | 1
номера, | номера, | 1
угостить | угостить | 1
блюдо | блюдо | 1
странenglish | странenglish | 1
08:34 | 08:34 | 1
африканец | африканец | 1
19.12.2023 | 19.12.2023 | 1
08:53:58 | 08:53:58 | 1
01:00, | 01:00, | 1
21.9 | 21.9 | 1
старт | старт | 1
всемирный | всемирный | 1
молодежи, | молодежи, | 1
территория | территория | 1
«сириус», | «сириус», | 1
остаться | остаться | 1
чуть | чуть | 1
2-й | 2-й | 1
месяц | месяц | 1
👥 | 👥 | 1
поддержка | поддержка | 1
курс | курс | 1
медицинский | медицинский | 1
казомбо | казомбо | 1
вместе | вместе | 1
видеовизитка | видеовизитка | 1
вмф, | вмф, | 1
переходить | переходить | 1
ссылка | ссылка | 1
💬 | 💬 | 1
09:50 | 09:50 | 1
00:17, | 00:17, | 1
5.7 | 5.7 | 1
спросить | спросить | 1
звучать | звучать | 1
слово | слово | 1
«дружба». | «дружба». | 1
вышло? | вышло? | 1
видео! | видео! | 1
писать | писать | 1
«дружба» | «дружба» | 1
родный | родный | 1
дружить | дружить | 1
😇english | 😇english | 1
arabic | arabic | 1
13:30 | 13:30 | 1
база | база | 1
в. | в. | 1
и. | и. | 1
ульянов | ульянов | 1
(ленина) | (ленина) | 1
отраслевой | отраслевой | 1
«газпром» | «газпром» | 1
гражданпобедитель | гражданпобедитель | 1
призёр | призёр | 1
смочь | смочь | 1
бесплатно | бесплатно | 1
старый | старый | 1
электротехнический | электротехнический | 1
европа | европа | 1
предметам: | предметам: | 1
информатика, | информатика, | 1
физика, | физика, | 1
химия. | химия. | 1
учащийся, | учащийся, | 1
иметь | иметь | 1
гражданства, | гражданства, | 1
аттестат | аттестат | 1
окончание | окончание | 1
средний | средний | 1
школы, | школы, | 1
году— | году— | 1
участиеenglish | участиеenglish | 1
16:13 | 16:13 | 1
гавань | гавань | 1
| | | | 1
blr | blr | 1
20.12.2023 | 20.12.2023 | 1
13:00:33 | 13:00:33 | 1
1279×1280, | 1279×1280, | 1
139.7 | 139.7 | 1
узнать | узнать | 1
невозможно, | невозможно, | 1
другую. | другую. | 1
если | если | 1
предпринять | предпринять | 1
попытка | попытка | 1
исследовать | исследовать | 1
она | она | 1
сторон, | сторон, | 1
«образовательный | «образовательный | 1
гавани» | гавани» | 1
расскажет, | расскажет, | 1
куда | куда | 1
заглянуть: | заглянуть: | 1
барыня» | барыня» | 1
медиа | медиа | 1
про | про | 1
культуру, | культуру, | 1
стиль | стиль | 1
современный | современный | 1
прочтение.«унёжить | прочтение.«унёжить | 1
душу» | душу» | 1
русь, | русь, | 1
рок-н-ролл.«приключение | рок-н-ролл.«приключение | 1
глаз | глаз | 1
студентов. | студентов. | 1
«культура.нос» | «культура.нос» | 1
проводник | проводник | 1
искусства, | искусства, | 1
музыки, | музыки, | 1
театра, | театра, | 1
кино | кино | 1
литературы.«умный | литературы.«умный | 1
брокколь» | брокколь» | 1
грамотность | грамотность | 1
этимологии. | этимологии. | 1
21 | 21 | 1
часто | часто | 1
ограничение | ограничение | 1
возраст | возраст | 1
университеты? | университеты? | 1
источник: | источник: | 1
101.6 | 101.6 | 1
85.8 | 85.8 | 1
1028×1280, | 1028×1280, | 1
127.6 | 127.6 | 1
00:19, | 00:19, | 1
6.9 | 6.9 | 1
любоваться | любоваться | 1
рубрика | рубрика | 1
#путешествиярф | #путешествиярф | 1
дианы, | дианы, | 1
севастополь, | севастополь, | 1
республика | республика | 1
крым | крым | 1
интересный | интересный | 1
факт: | факт: | 1
мыс | мыс | 1
лермонтов | лермонтов | 1
лава | лава | 1
древний | древний | 1
вулкана, | вулкана, | 1
постепенно | постепенно | 1
разрушать | разрушать | 1
вода | вода | 1
ветрами. | ветрами. | 1
именно | именно | 1
немой | немой | 1
сквозной | сквозной | 1
проход | проход | 1
арка | арка | 1
метров, | метров, | 1
длина | длина | 1
15-ти, | 15-ти, | 1
ширина | ширина | 1
6 | 6 | 1
метров. | метров. | 1
отвесно | отвесно | 1
уходить | уходить | 1
глубину, | глубину, | 1
второй | второй | 1
порог, | порог, | 1
м. | м. | 1
шириной. | шириной. | 1
красота! | красота! | 1
картеenglish | картеenglish | 1
14:02 | 14:02 | 1
❤ | ❤ | 1
«петербург | «петербург | 1
часть | часть | 1
меня»: | меня»: | 1
единственный | единственный | 1
малайзиец | малайзиец | 1
информационный | информационный | 1
технология | технология | 1
автоматизация | автоматизация | 1
спбгуптд, | спбгуптд, | 1
совмещать | совмещать | 1
парикмахером, | парикмахером, | 1
досуг | досуг | 1
петь | петь | 1
духовный | духовный | 1
хор | хор | 1
играть | играть | 1
скрипка | скрипка | 1
реалия | реалия | 1
интервьюenglish | интервьюenglish | 1
16:50 | 16:50 | 1
00:23, | 00:23, | 1
8.6 | 8.6 | 1
🪄предлагать | 🪄предлагать | 1
полюбоваться | полюбоваться | 1
волшебный | волшебный | 1
москвой! | москвой! | 1
🥳english | 🥳english | 1
